,Company Name,Query,URL,Name of Web Page,Web Page Snippet,Domain Name
64,Microsoft,disabled employee news blogs Microsoft,https://azure.microsoft.com/en-us/blog/topics/government/,Government | Azure Blog and Updates | Microsoft Azure,"Get the latest Azure news, updates, and announcements from the Azure blog. From product updates to hot topics, hear from the Azure experts.",microsoft
65,Microsoft,disabled employee news blogs Microsoft,https://cloudblogs.microsoft.com/dynamics365/it/,IT Professionals - Microsoft Dynamics 365 Blog,"The Microsoft Dynamics 365 (Preview) app for Windows is optimized to help your team stay productive whether they’re connected or working offline. The app provides your salespeople, agents, and supervisors with tools they need to track their tasks, arrive prepared for appointments, take notes, and access customer records.",microsoft
66,Microsoft,disabled employee news blogs Microsoft,https://azure.microsoft.com/en-us/blog/topics/serverless/,Serverless | Azure Blog and Updates | Microsoft Azure,"Limited-time free quantities offer for Azure Synapse Analytics Wednesday, March 17, 2021. Customers with qualifying subscription types can now try the new serverless SQL pool and Apache Spark pool resources in Azure Synapse Analytics using free quantities until July 31, 2021.",microsoft
69,Microsoft,accessibility statement news Microsoft,https://news.microsoft.com/on-the-issues/2019/09/25/accessibility-supportability-anne-taylor/,‘We are at a crossroads’ – How Microsoft’s Accessibility ...,"Taylor brought her extensive accessibility advocacy experience and knowledge to Microsoft, helping to transform the company’s culture, when she joined in May 2015. During her first year at Microsoft, she became a key member of the Hackathon team that brought Microsoft’s Seeing AI app to market. The app is designed to help people who, like ...",microsoft
74,Microsoft,accessibility statement news Microsoft,https://techcommunity.microsoft.com/t5/microsoft-forms-blog/microsoft-forms-is-committed-to-inclusive-design-and-accessible/ba-p/257057,Microsoft Forms is committed to inclusive design and ...,"Microsoft Forms allows users to quickly and easily create custom quizzes, surveys, questionnaires, registration forms, and more. In our commitment to provide inclusive design and accessible content, we continue to improve the Forms experience for all customers by following Microsoft Accessibility Standards (MAS).",microsoft
75,Microsoft,accessibility statement news Microsoft,https://news.microsoft.com/category/press-releases/,Press Releases - Stories - news.microsoft.com,"Amadeus and Microsoft form strategic partnership to drive future innovation in travel February 22, 2021 Technology and media entities join forces to create standards group aimed at building trust in online content",microsoft
78,Microsoft,accessibility statement news Microsoft,https://www.microsoft.com/en-us/accessibility/supplier-toolkit-resources,Supplier Web Accessibility Tools | Microsoft Accessibility,"Microsoft accessibility conformance reports Web Content Accessibility Guidelines (WCAG) Section 508 EN 301 549 Microsoft accessibility features and tools Microsoft seeks to empower all people to achieve more with Microsoft technologies, including the more than 1 billion people in the world with disabilities.",microsoft
79,Microsoft,accessibility statement news Microsoft,https://news.microsoft.com/,"Stories | Microsoft news, features, events, and press ...",Latest News. World Autism Awareness Day – A playbook to inclusive hiring; Celebrating World Autism Awareness Day and Autism Acceptance Month; Top 5 things to see and do at this year’s Hannover Messe Digital Edition show for the manufacturing world,microsoft
81,Microsoft,accessibility statement news Microsoft,https://docs.microsoft.com/en-us/compliance/regulatory/offering-WCAG-2-1,Web Content Accessibility Guidelines - Microsoft ...,"Sometimes, Microsoft might release a new component for an existing product, or a new version of an existing component, which users can choose to install separately, and Microsoft might also publish a WCAG report for that component. Download the WCAG (ISO/IEC 40500) accessibility standards. Microsoft in-scope cloud services. Azure and Azure ...",microsoft
82,Microsoft,accessibility statement news Microsoft,https://blogs.microsoft.com/accessibility/page/2/,Microsoft Accessibility Blog - Page 2 of 32 - Making ...,"More News Accessible Tech ... By Microsoft Accessibility Blog. Jul 6, 2020 Accessible Tech Building a cloud that is accessible to all May 28, 2020 Ability Summit Looking back at 10 years of learning at the annual Ability Summit. By Jenny Lay-Flurrie - Chief Accessibility Officer.",microsoft
83,Microsoft,accessibility statement news Microsoft,https://docs.microsoft.com/en-us/windows/win32/accessibility/accessibility-whatsnew,What's new in Windows accessibility ... - docs.microsoft.com,"For more info on the latest tools available for testing the accessibility implementation of your Windows and web applications, see Testing for accessibility. What's new for Windows 10 May 2019 Update (Version 1903) The following features, tools, developer guidance, samples, and videos have been made available for the Windows 10 May 2019 Update.",microsoft
85,Microsoft,accessibility statement news Microsoft,https://support.microsoft.com/en-us/microsoft-edge/accessibility-with-the-new-microsoft-edge-963ad3d1-2a34-9678-43ea-88332ae3300c,Accessibility with the new Microsoft Edge,"We’re excited to walk you through the accessibility enhancements we’ve added to the new Microsoft Edge and show you how to use your screen reader and keyboard to make sure that you’re using the very latest version, so you can enjoy the smoothest possible browsing experience. If you’ve used an older version of Microsoft Edge, you’ll notice that some things have changed, but we’ve ...",microsoft
87,Microsoft,accessibility statement news Microsoft,https://support.microsoft.com/en-us/account-billing/accessibility-features-for-the-microsoft-account-website-c4610278-a5b9-d85c-0308-0619d0cc3e11,Accessibility features for the Microsoft account website,"For more keyboard shortcuts, see Windows keyboard shortcuts for accessibility.. View pages in high contrast. Most operating systems provide high contrast options. For information about high contrast mode and other accessibility options in Windows 7, Windows 8.1, and Windows 10, go to the Windows accessibility help page, and then select your operating system version from the drop-down list next ...",microsoft
88,Microsoft,accessibility statement news Microsoft,https://microsoftedge.microsoft.com/addons/detail/accessibility-insights-fo/ghbhpcookfemncgoinjblecnilppimih,Accessibility Insights for Web - Microsoft Edge Addons,"Accessibility Insights for Web is a browser extension that helps developers find and fix accessibility issues in web apps and sites. The tool supports two primary scenarios: FastPass is a lightweight, two-step process that helps developers identify common, high-impact accessibility issues in less than five minutes.",microsoft
89,Microsoft,accessibility statement news Microsoft,https://blogs.microsoft.com/accessibility/10-habits-to-create-accessible-content/,10 Habits to create accessible content - Microsoft ...,"The M365 Accessibility Checker is designed to help everyone create more accessible content. It’s easier and more efficient to create an accessible document from the beginning than fix at the end so these tools are best used as you write emails, Word docs, PowerPoint decks, or create an Excel table.",microsoft
91,Microsoft,accommodation statement news Microsoft,https://docs.microsoft.com/en-us/learn/certifications/request-accommodations,Request accommodations | Microsoft Docs,"Request accommodations. 08/11/2020; 2 minutes to read; M; b; In this article For exams delivered through Pearson VUE: If you need additional time because the exam is not available in your native language, you may request this by submitting the English as a Second Language form.Follow the instructions on the form.",microsoft
93,Microsoft,accommodation statement news Microsoft,https://news.microsoft.com/2021/02/25/amadeus-and-microsoft-form-strategic-partnership-to-drive-future-innovation-in-travel/,Amadeus and Microsoft form strategic partnership to drive ...,"REDMOND, Wash. — Feb. 25, 2021 — Amadeus and Microsoft today announce a global strategic partnership that will harness cloud technology to innovate and explore new products and solutions and create smoother travel experiences in the future. The partnership will combine Microsoft trusted, secure cloud platforms and industry-leading collaboration and enterprise technologies with Amadeus ...",microsoft
94,Microsoft,accommodation statement news Microsoft,https://www.microsoft.com/en-us/Investor/order-print.aspx,Microsoft Investor Relations - Annual Reports - Order Print,2020 annual report. view online . download now,microsoft
95,Microsoft,accommodation statement news Microsoft,https://blogs.microsoft.com/on-the-issues/,Microsoft On the Issues - News and perspectives on legal ...,"Microsoft’s Endorsement of Australia’s Proposal on Technology and the News Feb 8, 2021 | Jacqueline Beauchere - Global Digital Safety Advocate New Microsoft data shows improved civility online, driven by teens",microsoft
96,Microsoft,accommodation statement news Microsoft,https://www.microsoft.com/en-us/p/microsoft-news/9wzdncrfhvfw?cid=general,Get Microsoft News - Microsoft Store,"- Microsoft News updates you with notifications of breaking news, quickly and accurately, 24/7 - Sync your preferences across the app and the Web. Microsoft News works in partnership with hundreds of publishers in dozens of countries globally. Select from editions in more 20 countries, carrying content from 3,000 top brands.",microsoft
97,Microsoft,accommodation statement news Microsoft,https://techcommunity.microsoft.com/t5/microsoft-bookings/end-date-to-service/m-p/108720,End date to service - Microsoft Tech Community,I'm using bookings to let clients book phone consults. The service is only available for one month so bookings can only be made until a sertain date. Is it possible in bookings to set an end date on a specific service?,microsoft
98,Microsoft,accommodation statement news Microsoft,https://techcommunity.microsoft.com/t5/microsoft-bookings-blog/bg-p/Office365BusinessAppsBlog,Microsoft Bookings Blog - Microsoft Tech Community,Microsoft Bookings now supports online meetings and group services Jessica_Wilczek on 03-06-2020 10:53 AM Two of the most consistent pieces of feedback we received is that you conduct many meetings online and have “class-style...,microsoft
100,Microsoft,interview accommodations news Microsoft,https://www.microsoft.com/en-us/microsoft-365/business-insights-ideas/resources/phone-interview-questions-ask-new-hires,Phone Interview Questions to Ask New Hires - microsoft.com,"Use phone interview questions such as “Can you travel/lift heavy loads/stand for long periods at a time?” to screen out candidates who don’t meet the physical requirements of a job. For example, an answer of “No” on the question “Can you travel for work?” is disqualifying for a sales role that requires a lot of time outside of the ...",microsoft
101,Microsoft,interview accommodations news Microsoft,https://answers.microsoft.com/en-us/windows/forum/apps_windows_10-win_news/news-app-will-not-work/657ae3df-9fdd-4e44-ace1-c63e2d2a68ae,News App will not work - Microsoft Community,"4. When finished, you can close PowerShell, and try opening the Microsoft Store app again .. Method 2: Re-register Microsoft Store app for All Users You must be signed in as an administrator to be able to do this option. 1. Terminate the Microsoft Store app to make sure it's closed and not running. 2. Open an elevated PowerShell 3.",microsoft
102,Microsoft,interview accommodations news Microsoft,https://answers.microsoft.com/en-us/feedback/forum/fdbk_news/interview-with-noel-and-nathan-volunteer/471c8ac0-8945-400b-89af-31463028353e,Interview with Noel and Nathan ... - answers.microsoft.com,"Interview with Noel and Nathan, Volunteer Moderators in the English Community Noel and Nathan are two very valuable members of our English Microsoft Community. Because they are part of our team, we rely on them daily on our forums and value their help as Volunteer Moderators and Volunteer Abuse Moderators.",microsoft
103,Intel,disabled employee news at Intel,https://newsroom.intel.com/news/intel-announces-expanded-paid-leave-benefits/,Intel Announces Expanded Paid Leave Benefits | Intel Newsroom,"Short-term disability coverage: The benefit, which includes pregnancy, approximates regular pay for up to 52 weeks and will be provided at no cost. Why It Matters: These enhancements are part of Intel’s continued investment in benefits to support employee well-being. By enhancing its paid leave benefits, Intel allows employees to focus on ...",intel
104,Intel,disabled employee news at Intel,https://newsroom.intel.com/latest-news/,Latest News | Intel Newsroom,"Intel Unleashed: Engineering the Future (Replay) March 23, 2021 Intel CEO Pat Gelsinger Announces ‘IDM 2.0’ Strategy for Manufacturing, Innovation and Product Leadership",intel
105,Intel,disabled employee news at Intel,https://simplecore.intel.com/newsroom/press-kits/intel-ces-2021/,Intel at CES 2021 | Intel Newsroom,"Intel’s unmatched innovation, scale and ecosystem deliver world-changing technology that helps meet those needs. At CES 2021, Intel will preview exciting new technology via two news conferences plus host an in-depth technology session from Mobileye. More: » Intel at CES 2021 on Intel.com » CES 2021 Official Website. News",intel
108,Intel,disabled employee news at Intel,https://community.intel.com/t5/Hardware-Products/ct-p/hardware-products,Hardware Products - Intel Community,"Intel® graphics drivers and software, compatibility, troubleshooting, performance and optimization 95576 Posts ‎04-02-2021 08:46 AM: Processors. ... Employee. in Intel® Optane™ Persistent Memory Blog 03-11-2021 3 Kudos 0 Replies 316 Views For ...",intel
110,Intel,disabled employee news at Intel,https://itpeernetwork.intel.com/enhancing-intel-employee-productivity/,Enhancing Intel Employee Productivity – IT Peer Network,"Intel employees spend almost a billion minutes in meetings every year, an area ripe for increased productivity using effective collaboration and wire-free content sharing. Intel IT’s deployment of the Intel Unite® solution has allowed the sharing and annotating of content seamlessly in more than 4,000 conference rooms worldwide.",intel
111,Intel,employee accessibility news stories Intel,https://newsroom.intel.com/press-kits/intel-response-covid-19-crisis/,Intel Response to COVID-19 Crisis | Intel Newsroom,Intel’s top priority is protecting the health and well-being of employees while keeping the business running for our customers and supporting the communities we operate in. Intel will continue to share updates on our efforts throughout the developing situation. More: Coronavirus (COVID-19) Response and Support Hub. News,intel
116,Intel,employee accessibility news stories Intel,https://www.intel.com/content/www/us/en/jobs/jobs-at-intel.html,Careers at Intel,// Intel is committed to respecting human rights and avoiding complicity in human rights abuses. See Intel’s Global Human Rights Principles . Intel’s products and software are intended only to be used in applications that do not cause or contribute to a violation of an internationally recognized human right.,intel
117,Intel,Intel name erg disability news,https://newsroom.intel.com/news-releases/new-intel-created-system-offers-professor-stephen-hawking-ability-to-better-communicate-with-the-world/,New Intel-Created System Offers Professor Stephen Hawking ...,"LONDON, Dec. 2, 2014 – Today Intel demonstrated for the first time with Professor Stephen Hawking a new Intel-created communications platform to replace his decades-old system, dramatically improving his ability to communicate with the world.",intel
118,Intel,Intel name erg disability news,https://newsroom.intel.com/news/intel-artificial-intelligence-opens-door-mobility-quadriplegic-community/,Intel Artificial Intelligence Opens Door to Mobility for ...,"» Download all images (ZIP, 13 MB) What’s New: With HOOBOX Robotics’ Wheelie 7* kit powered by Intel artificial intelligence (AI) technologies, people can control their motorized wheelchairs with simple facial expressions. There are more than 60 people in the United States testing the Wheelie 7 – most of whom are quadriplegics, people with amyotrophic lateral sclerosis or senior citizens.",intel
